Feature,Importance
PageValues,0.16339712
Month_Nov,0.08788924
Month_May,0.06679307
Month_Mar,0.059683584
Month_Sep,0.035712052
TrafficType_13,0.018799877
TrafficType_5,0.01795531
Month_Dec,0.01738673
Browser_12,0.016782932
TrafficType_3,0.016675478
Region_8,0.015399718
Region_5,0.01531452
ProductRelated_Duration,0.014723121
TrafficType_8,0.014705649
TrafficType_11,0.014352312
Browser_6,0.014222511
Month_Jul,0.014091255
VisitorType_Returning_Visitor,0.013979588
Month_Feb,0.013806612
Administrative_Duration,0.013673696
Informational,0.013647177
Region_4,0.013613422
BounceRates,0.013162303
TrafficType_6,0.013111779
ProductRelated,0.013088805
Region_3,0.012975215
TrafficType_16,0.012855066
TrafficType_2,0.012733667
Administrative,0.012586806
Browser_4,0.012493039
TrafficType_4,0.012072656
OperatingSystems_4,0.01193418
ExitRates,0.011609156
Informational_Duration,0.011491174
Weekend,0.011484121
Region_9,0.011056196
Browser_8,0.010892164
Region_2,0.010500859
Month_Oct,0.010395144
Month_June,0.01033693
Region_6,0.009926872
OperatingSystems_3,0.009486469
TrafficType_10,0.009449197
Browser_5,0.009282039
Region_7,0.009084849
TrafficType_20,0.007995697
OperatingSystems_2,0.0076769143
SpecialDay,0.0075077577
Browser_2,0.0069760364
Browser_7,0.006159257
VisitorType_Other,0.0059957826
Browser_10,0.0057281656
OperatingSystems_7,0.0055563888
Browser_3,0.005499382
OperatingSystems_8,0.004700582
OperatingSystems_6,0.0015903508
OperatingSystems_5,0.0
TrafficType_19,0.0
TrafficType_18,0.0
TrafficType_17,0.0
TrafficType_12,0.0
TrafficType_15,0.0
TrafficType_14,0.0
TrafficType_9,0.0
Browser_11,0.0
TrafficType_7,0.0
Browser_13,0.0
Browser_9,0.0
