Feature,MeanAbsSHAP
PageValues,2.5389063
Month_May,0.9087081
ExitRates,0.5397336
Month_Mar,0.428051
Month_Nov,0.41976622
BounceRates,0.33021715
ProductRelated_Duration,0.31117463
ProductRelated,0.26128975
Administrative_Duration,0.21859723
Administrative,0.17756991
TrafficType_2,0.09790321
VisitorType_Returning_Visitor,0.09314296
Informational,0.0878579
Month_Dec,0.08487623
Informational_Duration,0.08110978
OperatingSystems_3,0.061861984
Weekend,0.04787056
TrafficType_13,0.047597855
OperatingSystems_2,0.04628254
TrafficType_3,0.045903213
TrafficType_8,0.04340088
Month_Feb,0.0406433
Browser_4,0.037417214
Browser_2,0.037095588
TrafficType_11,0.03291049
Region_3,0.032508314
Month_Oct,0.023940245
Region_4,0.023506386
Month_Sep,0.023304325
Browser_6,0.02139274
Browser_5,0.020873783
Region_9,0.019720474
Region_8,0.018363483
TrafficType_4,0.017742489
SpecialDay,0.017498102
TrafficType_10,0.017402677
TrafficType_20,0.016259864
Region_5,0.015361273
Region_7,0.014393081
Region_2,0.013907317
TrafficType_6,0.012335469
Month_Jul,0.011491475
Region_6,0.010960135
OperatingSystems_4,0.010149274
Browser_7,0.008923503
Browser_10,0.008815899
TrafficType_5,0.008437432
Month_June,0.0063294144
VisitorType_Other,0.005693946
OperatingSystems_8,0.0052016056
Browser_3,0.0037603348
Browser_12,0.0032366288
Browser_8,0.0024024223
TrafficType_16,0.0010424217
OperatingSystems_6,0.00089687016
OperatingSystems_7,0.00031256766
TrafficType_15,0.0
TrafficType_19,0.0
TrafficType_18,0.0
TrafficType_17,0.0
TrafficType_14,0.0
Browser_13,0.0
TrafficType_12,0.0
OperatingSystems_5,0.0
Browser_11,0.0
TrafficType_9,0.0
TrafficType_7,0.0
Browser_9,0.0
